listing_id,postal_code,house_number,agent_id,description
"54b2b0c7-242a-5293-8208-20be987a90f3","7524P","10","6b51d92b-f310-5d82-9404-068929c780fd","HousingXL biedt te huur aan:   
  
\-- PRACHTIGE GEDEELTELIJK VRIJSTAANDE WOONBOERDERIJ --   
  
Op een prachtige locatie net buiten Lonneker gelegen, dit gedeelte van een woonboerderij. De woning is per 4 november aanstaande beschikbaar en beschikt over een externe berging. Binnen 10 minuten bent u in het centrum van Enschede, ook de A1 en de universiteit zijn vanuit hier gemakkelijk te bereiken.   
  
Kortom, landelijk wonen met de gemakken van de stad binnen handbereik!   
  
Indeling: entree/hal, meterkast, badkamer voorzien van wastafelmeubel en inloopdouche, seperaat toilet met fontein, open keuken voorzien van koelkast, oven, afzuigkap en wasemkap, woonkamer, hal met trapopgang en toegang tot eerste slaapkamer.   
  
Verdieping: overloop, 2 slaapkamers, welke voorzien zijn van inbouwkasten, hobbykamer.   
  
  
EXTRA informatie   
\- Ideale woning voor EXPATS   
\- Voorschot G/W/E van €150,- p/m   
\- NIET voor studenten   
\- Geen huisdieren"
"2591007e-b700-509a-bde3-89e68b471df8","2131XE","8","21b0352b-0cb1-52b2-bbaf-3c7f93f19153","Dit verzorgde gemeubileerde 3-kamer appartement met balkon, privé berging en privé parkeerplaats bieden wij te huur aan. Het appartement ligt zeer centraal, en op loopafstand van het gezellig centrum van Hoofddorp.  
Tevens beschikt het appartementencomplex over een gemeenschappelijke binnentuin. Dit appartement is per direct beschikbaar voor onbepaalde tijd, met een minimale periode van 12 maanden.  
  
Begane grond: Entree in de gezamenlijke hal met intercom en brievenbussen. Vanuit hier is er toegang tot de bergingen in het souterrain, alsmede de gewenste verdieping middels de trap of lift.   
  
Derde verdieping Entree in de ruime hal van het appartement. In deze ruimte bevindt zich de kapstok als mede het seperate toilet. Vanuit de hal is er toegang tot de ruime en lichte woonkamer met mooie laminaat vloer en open keuken. Het ruime balkon is te bereiken vanuit de woonkamer.   
De ruime en open keuken beschikt over meerdere voorzieningen te weten: koel/vriescombinatie, combi-oven, vaatwasser, oven, gaskookplaat, afzuigkap.   
  
De twee slaapkamers, beide goed van formaat en zeer licht door de grote raampartijen. De hoofdslaapkamer bevindt zich aan de achterzijde van de woning, en de tweede slaapkamer is via de woonkamer te bereiken. Tussen de slaapkamers in bevindt zich de badkamer als mede ook een kamer welke dient als wasruimte. De badkamer is voorzien van een bad, douche en wastafel met wasmeubel.   
  
De nette laminaat vloer ligt in het gehele appartement.   
  
Wetenswaardigheden:  
\- 3 kamers waarvan 2 slaapkamers  
\- Nabij het gezellige centrum  
\- Ruim balkon  
\- Prachtige meubels en vloer  
\- Licht en ruim appartement  
\- Privé parkeerplaats  
\- Geen huisdieren  
\- Niet-rokers woning  
\- Beschikbaar voor onbepaalde tijd, met een minimum van 12 maanden  
\- Huurprijs exclusief G/W/E, TV+internet en gemeentelijke lasten / inclusief servicekosten VvE  
\- Gunning voorbehouden verhuurder  
\- Energielabel B"
"6f801e21-bbac-5ee0-869f-055e8ebfcf52","",,"6b46d871-f748-55e3-8ff4-f11bfd6ff135","Verkocht"
"f2737494-80e8-52a4-b361-6782036348d2","5988NH","0ong","6b46d871-f748-55e3-8ff4-f11bfd6ff135","perceel 1 oppervlakte circa 1 ha
perceel 2 oppervlakte circa 1 ha
beide percelen zijn aan elkaar gelegen in de Heldense Bossen aan het ""Ongers Veld""
De Heldense Bossen strekken zich uit tussen Helden Baarlo en Kessel en zijn gezamenlijk enkele honderden hectares groot.
Het perceel is nogal glooiend, geweldig om doorheen te wandelen; er  is nog geen houtkap geweest. Het bos is wel toe aan uitdunning van de opstand. De opstand bestaat uit sparr.....

perceel 1 oppervlakte circa 1 ha
perceel 2 oppervlakte circa 1 ha
beide percelen zijn aan elkaar gelegen in de Heldense Bossen aan het ""Ongers Veld""
De Heldense Bossen strekken zich uit tussen Helden Baarlo en Kessel en zijn gezamenlijk enkele honderden hectares groot.
Het perceel is nogal glooiend, geweldig om doorheen te wandelen; er  is nog geen houtkap geweest. Het bos is wel toe aan uitdunning van de opstand. De opstand bestaat uit sparren.
Gewoon geweldig en leuk om er af en toe te werken en èèn te zijn met de natuur..."
"e8c3f68d-2fd7-5744-b4d9-1ed6fb40c159","6221AV","23","6b51d92b-f310-5d82-9404-068929c780fd","Te huur mooie kamer in het centrum van Maastricht.   
  
De kamer met airco unit is ca. 18 m2. De badkamer dient gedeeld te worden met enkele andere bewoners. Aan de achterzijde van het pand is een gedeeld dakterras ter beschikking.   
  
De huurprijs is inclusief gas, water, elektra, internet en servicekosten.   
  
Voor meer informatie of het plannen van een bezichtiging zijn wij bereikbaar via tel.: 043-7600076 of e-mail: maastricht@housingxl.nl."
"65aad7e6-424b-5b04-bb83-b034f784dcd9","5642JC","63","6b51d92b-f310-5d82-9404-068929c780fd","Te huur volledig gemeubileerd 4-kamer appartement gelegen op de eerste verdieping van deze bedrijfswoning. Het appartement ligt in de wijk Tongelre op 10-15 minuten fietsen van de binnenstad en het Centraal Station.   
  
Het appartement is recentelijk volledig gerenoveerd.   
  
Indeling:   
  
Entree op de begane grond met trapopgang naar de eerste verdieping. Entree in de hal van het appartement met toegang tot alle ruimtes. Half open keuken voorzien van vaatwasser, combimagnetron, koelkast met vriesvak, gasfornuis en afzuigkap. Woonkamer van ca. 20 m2 met toegang tot balkon middels schuifdeuren. Slaapkamer 1 van ca. 12 m2 met inbouwkast en tweepersoons bed. Slaapkamer 2 van ca. 16 m2 voorzien van inbouwkast en tweepersoons bed. De beide slaapkamers bevinden zich aan de achterzijde van het appartement. Ruime badkamer voorzien van douche, hangend toilet, dubbele wastafel en wasmachine. Aparte eet- hobbykamer van ca. 8 m2.   
  
Het gehele object is recentelijk gerenoveerd en voorzien van laminaat vloer en de badkamer en keuken zijn betegeld.   
  
De huurprijs is inclusief alle kosten.   
  
Neemt u gerust contact op met ons kantoor voor eventuele vragen of het inplannen van een bezichtiging."
"2aea560e-3160-5484-aedd-82cc51e74541","2341SB","34","21b0352b-0cb1-52b2-bbaf-3c7f93f19153","In de prachtige woonomgeving aan de Hazenboslaan, bieden wij deze ruime grondgebonden woning aan met voortuin en achtertuin. In deze rustige, groene en gemêleerde wijk direct aan het 'Hofbrouckerpark' vindt u in de directe omgeving zaken die het alledaagse leven comfortabel maken. De wijk staat dan ook zeer goed bekend en ligt direct tegen het geliefde oude centrum van Oegstgeest aan. Deze woning is voor onbepaalde tijd te huur, met een minimale periode van 12 maanden.  
  
Begane grond: Een entree naar de woning met een ruime hal. Vanuit de hal is de woonkamer en badkamer te betreden. De woonkamer is zeer licht en heeft een goed ruim formaat. Aan de achterzijde van het woonhuis is de keuken gelegen, welke is voorzien van een gasfornuis, afzuigkap en aansluiting voor was-apparatuur. Vanuit de keuken is de achtertuin te bereiken. Aan de achterzijde van de woning is tevens een werk-/slaapkamer gelegen met toegang tot de badkamer. De badkamer is voorzien van een toilet, douche en een wastafel.  
  
Eerste verdieping: Een vaste trap met entree naar de overloop. Verder is er op de eerste verdieping een riante tweede slaapkamer aanwezig. Deze slaapkamer is zeer licht en ruim en beschikt over een grote dakkapel. De woning beschikt verder over een gedeelde fietsenberging.   
  
De woning word kaal opgeleverd en is voor een langere periode te huur, met een minimale periode van 12 maanden. Om in aanmerking te komen voor deze woning kunt u ons om de voorwaarden omtrent huur vragen.  
  
Overige wetenswaardigheden:  
\- Energielabel B.  
\- Het woonhuis zal kaal opgeleverd worden.  
\- Voor langere periode te huur, met een minimale periode van 12 maanden.   
\- Vraag naar de voorwaarden om in aanmerking te komen voor dit appartement.  
\- De huurprijs is exclusief G/W/E/TV/Internet en gemeentelijke belastingen en exclusief servicekosten.  
\- Gunning voorbehouden aan verhuurder.  
\- Let op! De foto's van de binnenkant van de woning zijn niet van deze woning, maar van een vergelijkbaar object, en dienen alleen voor het verkrijgen van een impressie van de woning."
"51376889-0788-5edc-bee3-04b4569a7a20","5963AG","24b","6b46d871-f748-55e3-8ff4-f11bfd6ff135","Wonen in boererij d'n Homberg. Deze tussenwoning dient nog gerealiseerd te worden. De woning op 508 m2 dient door koper in projectvorm met de overige kopers te worden geraliseerd.

Alle voorzieningen zijn op de begane grond gesitueerd, waarbij de leefruimte met een open karakter aan de achterzijde is gesitueerd. 
De badruimte en slaapkamer zijn aan de voorzijde gelegen.
De verdieping is in dit plan geheel ter invulling. Indien u de behoefte heeft deze in te vullen, is dit uiteraard mogelijk.
Het is de opzet om, in samenspraak met u, maatwerk te realiseren.
Het woongenot en afwerkingniveau is ter invulling aan u!

Aan de achterzijde is de toegang middels een eigen ruime oprit verzekerd. De mogelijkheid bestaat om er een ruime garage te plaatsen indien gewenst!"
"d4e47f93-a025-5731-abc6-da3630af193b","6211SJ","62","6b51d92b-f310-5d82-9404-068929c780fd","Te huur midden in het centrum van Maastricht geheel gerenoveerd huis met 8 gemeubileerde rooms.   
  
Elke kamer heeft een eigen keukenblok met ijskast, kookplaat, magnetron en ijskast.   
Er is een bed, kast, stoel en TV aanwezig. Beddengoed , handdoeken en keukengerei zijn exclusief.   
Voor gezamenlijk gebruik (7 kamers) zijn er 2 douches en 2 toiletten.   
Op de begane grond is voor gezamenlijk gebruik een wasmachine, droger, strijkplank en strijkijzer en een plek om de fietsen te stallen.   
  
De huurprijs van € 745,- is inclusief G/W/E, internet en gemeentelijke belastingen.   
  
Voor meer informatie of het plannen van een afspraak zijn wij bereikbaar via tel.: 043-7600076 of via e-mail: maastricht@housingxl.nl."
"311256ee-e484-54e5-8a59-5d40a7693e81","7311JR","66","0ce0b99c-09f9-517b-8e57-9e6b01ea55a1","Dit werkelijk prachtige 3-kamer appartement van maar liefst 76m² is centraal doch rustig gelegen. Vanuit de woonkamer heeft u een prachtig uitzicht richting de gezellige binnenstad van Apeldoorn. Alle faciliteiten, zoals winkels, openbaar vervoer, restaurants en diverse andere voorzieningen liggen binnen handbereik. De woning is volledig gestoffeerd en heeft een hoogwaardig afwerkingsniveau!   
  
Indeling:  
Entree, hal met trap naar de eerste verdieping, eigen entree, hal met toegang tot twee lichte slaapkamers, moderne en strak afgewerkte badkamer welke beschikt over een nette douche en dubbele wastafel, separaat toilet en berging met wasmachineaansluiting. De woonkamer met open keuken beschikt over een prachtig uitzicht richting de binnenstad van Apeldoorn. De keuken beschikt over een vierpits gasstel, koelkast, magnetron en vaatwasser. Van alle gemakken voorzien!   
  
Kenmerken:  
\- woonoppervlakte bedraagt 76m2  
\- beschikbaar voor onbepaalde tijd  
\- maandelijkse servicekosten bedragen € 20,00  
\- maandelijkse stoffering kosten bedragen € 60,00  
\- parkeerplaats o.b.v. parkeervergunning via de gemeente Apeldoorn  
\- gas/water/licht op eigen naam  
\- modern en netjes afgewerkt  
\- volledig gestoffeerd  
\- servicekosten: Domica Reparatieservice voor € 9,95 per maand"
